iter	Passed	Remaining
0	389	3892123
1	686	3433394
2	948	3162306
3	1210	3026220
4	1501	3000614
5	1773	2953548
6	2058	2939106
7	2451	3061519
8	2950	3275104
9	3250	3247047
10	3522	3199087
11	4076	3392832
12	4466	3431156
13	4826	3442539
14	5275	3511973
15	5790	3613365
16	6300	3699612
17	6786	3763296
18	7217	3791444
19	7822	3903439
20	8361	3973453
21	8949	4059174
22	9541	4139125
23	10104	4200068
24	10460	4173797
25	10770	4131628
26	11031	4074853
27	11434	4072171
28	11686	4018073
29	11948	3970750
30	12217	3929041
31	12529	3902848
32	12779	3859818
33	13081	3834420
34	13389	3812092
35	13657	3780134
36	13911	3745892
37	14408	3777311
38	14900	3805822
39	15281	3805148
40	15767	3829985
41	16084	3813485
42	16338	3783300
43	16558	3746664
44	16844	3726471
45	17187	3719248
46	17532	3712812
47	17803	3691183
48	18088	3673438
49	18360	3653831
50	18659	3640063
51	18952	3625747
52	19321	3626161
53	19645	3618342
54	19962	3609570
55	20275	3600319
56	20600	3593440
57	20941	3589603
58	21264	3582965
59	21552	3570607
60	21828	3556540
61	22123	3546171
62	22410	3534797
63	22696	3523651
64	22983	3512906
65	23274	3503092
66	23598	3498578
67	23893	3489922
68	24151	3476031
69	24431	3465808
70	24732	3458737
71	24999	3447098
72	25283	3438148
73	25559	3428431
74	25872	3423854
75	26179	3418464
76	26471	3411374
77	26739	3401357
78	27068	3399288
79	27344	3390688
80	27712	3393578
81	28048	3392558
82	28331	3385161
83	28616	3378072
84	28941	3375931
85	29214	3367843
86	29464	3357282
87	29700	3345403
88	29983	3338963
89	30245	3330368
90	30517	3323090
91	30782	3315191
92	31094	3312439
93	31422	3311363
94	31663	3301289
95	31960	3297277
96	32195	3286902
97	32436	3277365
98	32712	3271533
99	33003	3267335
100	33249	3258817
101	33503	3251189
102	33841	3251782
103	34203	3254611
104	34499	3251133
105	34826	3250720
106	35135	3248601
107	35407	3243101
108	35734	3242669
109	36051	3241330
110	36366	3239914
111	36682	3238528
112	36946	3232688
113	37271	3232187
114	37543	3227112
115	37888	3228369
116	38212	3227815
117	38564	3229632
118	38842	3225209
119	39135	3222174
120	39388	3215891
121	39674	3212311
122	39956	3208564
123	40199	3201661
124	40454	3195919
125	40674	3187464
126	40957	3184067
127	41231	3179981
128	41525	3177533
129	41831	3175956
130	42098	3171493
131	42343	3165474
132	42635	3163056
133	42961	3163155
134	43237	3159506
135	43545	3158314
136	43862	3157789
137	44161	3155969
138	44421	3151396
139	44692	3147660
140	44932	3141791
141	45219	3139258
142	45535	3138796
143	45819	3136119
144	46112	3134032
145	46403	3131886
146	46700	3130207
147	47028	3130583
148	47305	3127538
149	47534	3121416
150	47808	3118341
151	48110	3117052
152	48390	3114405
153	48729	3115538
154	49033	3114406
155	49362	3114883
156	49646	3112520
157	49938	3110732
158	50203	3107265
159	50515	3106721
160	50809	3105039
161	51061	3100897
162	51336	3098125
163	51565	3092699
164	51815	3088547
165	52083	3085466
166	52317	3080453
167	52597	3078203
168	52893	3076884
169	53146	3073133
170	53404	3069639
171	53697	3068240
172	53967	3065541
173	54255	3063874
174	54484	3058934
175	54744	3055738
176	55026	3053811
177	55300	3051475
178	55576	3049231
179	55856	3047255
180	56122	3044566
181	56349	3039761
182	56676	3040419
183	56929	3037066
184	57200	3034726
185	57493	3033546
186	57796	3032928
187	58093	3031978
188	58375	3030268
189	58660	3028755
190	58978	3028906
191	59315	3030058
192	59601	3028562
193	59907	3028105
194	60192	3026591
195	60471	3024806
196	60750	3023024
197	61045	3022079
198	61336	3020905
199	61584	3017626
200	61885	3017017
201	62136	3013916
202	62489	3015809
203	62768	3014095
204	63011	3010741
205	63266	3007931
206	63544	3006229
207	63808	3003902
208	64098	3002814
209	64364	3000603
210	64629	2998369
211	64875	2995302
212	65140	2993096
213	65388	2990133
214	65636	2987232
215	65893	2984753
216	66225	2985646
217	66487	2983408
