iter	F1	Logloss
0	0.4349666085	0.605168728
1	0.4269601677	0.5660075839
2	0.4269076347	0.5490688379
3	0.4460352198	0.5387489666
4	0.4430532493	0.5332940562
5	0.4434501103	0.5300439364
6	0.4578566945	0.5263873251
7	0.4695690317	0.5237671881
8	0.4694824438	0.5216090112
9	0.4750227967	0.5202934875
10	0.4764947332	0.5187593427
11	0.4786953094	0.5177999824
12	0.4848597327	0.515974752
13	0.485020757	0.5152351489
14	0.4950087456	0.5117649133
15	0.4985923641	0.5104172063
16	0.5004859741	0.5096490385
17	0.5035584799	0.5084213157
18	0.5051764593	0.5078360878
19	0.506505052	0.507457173
20	0.5077537145	0.5069924459
21	0.5092960538	0.5064921884
22	0.5125316973	0.5058212968
23	0.5155766629	0.5050292124
24	0.5173476526	0.5044733541
25	0.5171229962	0.5042943183
26	0.5179199274	0.5041361308
27	0.5183085818	0.5037686888
28	0.5196077506	0.5033264059
29	0.52102475	0.502556564
30	0.5218393628	0.5019293964
31	0.5221206305	0.5016583089
32	0.5231990174	0.5011353828
33	0.5230341541	0.5008152409
34	0.5255192066	0.4997344585
35	0.5277997514	0.4992065384
36	0.5278125913	0.4988996564
37	0.5279816125	0.4987881917
38	0.5303129993	0.4984520241
39	0.5288857024	0.4979865785
40	0.5288833531	0.4977962496
41	0.5296786425	0.497476616
42	0.53140233	0.4970307686
43	0.5320805521	0.4968150753
44	0.5333044942	0.4962958763
45	0.5347661901	0.4955616641
46	0.5358251944	0.4952882305
47	0.5373836153	0.4948302055
48	0.5387968125	0.4942809181
49	0.5394074379	0.494025253
50	0.5410022992	0.493517322
51	0.5423706675	0.4929706178
52	0.543874859	0.4926040046
53	0.5447223439	0.4921898887
54	0.5466190051	0.4917252416
55	0.5470137939	0.4914765565
56	0.5491818485	0.4908307894
57	0.5486816075	0.490556268
58	0.5508820042	0.4897833871
59	0.5507859622	0.4895183496
60	0.5508502896	0.489358695
61	0.5512645598	0.4891506264
62	0.550774175	0.4890247715
63	0.5515010689	0.488616377
64	0.5518522992	0.488439356
65	0.5520505025	0.4881672424
66	0.5534447539	0.4876368559
67	0.5535072485	0.4873605671
68	0.5536878471	0.4870680064
69	0.5551597462	0.4866545849
70	0.5560058236	0.4861117999
71	0.5566272211	0.4856496463
72	0.5562441349	0.4854627591
73	0.5565441914	0.4852174541
74	0.5565679363	0.4850968922
75	0.5571827899	0.4847194297
76	0.5589182467	0.4841996866
77	0.561228549	0.483454006
78	0.5617977528	0.4830529718
79	0.5620001481	0.4829595014
80	0.5622980717	0.4828021398
81	0.5628343483	0.4825477866
82	0.5624768398	0.4822130625
83	0.5627784209	0.4820469452
84	0.5633015121	0.4818342483
85	0.5636355214	0.4814995845
86	0.5644441977	0.4811172296
87	0.5644667043	0.480959752
88	0.5643613869	0.4806527663
89	0.5648751759	0.4803656783
90	0.5645709628	0.4802042305
91	0.5662361709	0.4797453649
92	0.5670352038	0.4793047416
93	0.5675300648	0.4791772586
94	0.5677771608	0.4789619131
95	0.5694561249	0.4785152294
96	0.5701540508	0.478198068
97	0.570509859	0.4780009009
98	0.5708766936	0.4777242891
99	0.5722960502	0.4769348527
100	0.5721960676	0.4767770374
101	0.5723229786	0.4766817529
102	0.5723549898	0.4765372726
103	0.5728085405	0.4763269215
104	0.5734831212	0.4760408177
105	0.5737278281	0.4759131065
106	0.5739117598	0.4757365042
107	0.5740294511	0.4756586167
108	0.5742343972	0.4755497511
109	0.5745988959	0.4753086272
110	0.5754887495	0.4750263351
111	0.5756787664	0.4747285068
112	0.5759933622	0.4745375777
113	0.5761090011	0.4744288213
114	0.5761902567	0.474195446
115	0.5772160761	0.47382227
116	0.5774732208	0.4737055511
117	0.5775083828	0.473600566
118	0.577729893	0.4734956044
119	0.5777822796	0.4732843898
120	0.5780048796	0.4730028454
121	0.5779467681	0.4729175922
122	0.5793493947	0.4724513055
123	0.5797410622	0.4722590857
124	0.5800854662	0.4720654588
125	0.5802074139	0.4719571979
126	0.5803699481	0.4718473102
127	0.5804998667	0.4716493499
128	0.5808733681	0.4714477338
129	0.5813551848	0.4711668168
130	0.5830223111	0.4705526387
131	0.5830070155	0.4704013593
132	0.5828273749	0.4702974032
133	0.5831162637	0.4701570103
134	0.5833891309	0.4698422499
135	0.5834312142	0.4697485573
136	0.5834212579	0.4696012461
137	0.5833386882	0.4695336919
138	0.5835688851	0.4694594093
139	0.5831694993	0.4692585011
140	0.5832475932	0.4692053519
141	0.5833402267	0.4688702565
142	0.5835233123	0.4687752288
143	0.5835280696	0.4685738577
144	0.5839151512	0.4684274774
145	0.5843688776	0.468084011
146	0.5841462068	0.4679206631
147	0.5842185688	0.4678434188
148	0.5846298222	0.4677319238
149	0.5842829113	0.467522967
150	0.5847250753	0.4673466396
151	0.5850382748	0.467149399
152	0.5852562154	0.4669277445
153	0.5852768874	0.4667599396
154	0.5853923582	0.4666164694
155	0.5859348388	0.4664163087
156	0.5859445519	0.4663283622
157	0.5864775239	0.4661903589
158	0.5865644974	0.4660722684
159	0.587056798	0.4658665715
160	0.5868464188	0.4657797647
161	0.5871737029	0.465603816
162	0.5871549493	0.4653478784
163	0.5872827258	0.4652896148
164	0.5873106549	0.4652249455
165	0.5878343527	0.4649426305
166	0.5881898028	0.4648159691
167	0.5883024356	0.4647024062
168	0.5889872987	0.4643941298
169	0.589024581	0.4642940962
170	0.5890223142	0.4642268443
171	0.5892160471	0.4641400223
172	0.5896232492	0.4638781895
173	0.5902353807	0.4632970792
174	0.590210691	0.4631933338
175	0.5903784052	0.4629910216
176	0.5905669752	0.4628994571
177	0.5907580736	0.4628103315
178	0.5905735064	0.4627244539
179	0.5905407396	0.4625562468
180	0.5907325245	0.4622962644
181	0.5908865046	0.4620211014
182	0.5910905846	0.4619269694
183	0.5915052517	0.4616881277
184	0.5918228467	0.4616015775
185	0.5922262264	0.4614313984
186	0.5929217351	0.4611100851
187	0.5929917653	0.4610033216
188	0.5933272722	0.4608088458
189	0.5935113102	0.4607135518
190	0.5935331057	0.460636959
191	0.5936785672	0.4605472529
192	0.5938194304	0.4604784602
193	0.594362554	0.4600923597
194	0.594515271	0.4600065919
195	0.594602033	0.4598928762
196	0.5946218703	0.4598558633
197	0.5947468372	0.4597857851
198	0.5947254965	0.4596593431
199	0.5948430061	0.4596022803
200	0.594950644	0.4594929066
201	0.5949733994	0.4594358506
202	0.5950670959	0.459328378
203	0.5952372216	0.4592650168
204	0.5952437749	0.4591712849
205	0.5955319051	0.4590847085
206	0.5959823886	0.4589359149
207	0.5963577009	0.4588588285
208	0.5965053961	0.4586532364
209	0.5965604581	0.4585515717
210	0.5966226138	0.4583801823
211	0.5967590978	0.4582706749
212	0.5968348969	0.4581883552
213	0.5969247717	0.4580979949
214	0.5969867136	0.4580348901
215	0.5972198009	0.4579426665
216	0.5973449298	0.4578198523
217	0.5973170374	0.4577522892
218	0.5973959241	0.457666045
219	0.5976146789	0.457539889
220	0.5977133839	0.4573295643
221	0.5979396575	0.4572209971
222	0.5979417376	0.4571284413
223	0.5983678709	0.4568062048
224	0.5984745701	0.456646142
225	0.5988247912	0.4565105411
226	0.5987605654	0.4564421647
227	0.5988156785	0.4563187365
228	0.5989053805	0.4562502533
229	0.5990373596	0.4561739324
230	0.5991676445	0.4561060086
231	0.5991360731	0.4560185695
232	0.5991765472	0.4558874536
233	0.5995286523	0.4557653556
234	0.5999028067	0.4556362035
235	0.6004236084	0.4555243687
236	0.6006015369	0.4554340951
237	0.6005813794	0.4553175168
238	0.6008178384	0.4552326855
