iter	Passed	Remaining
0	321	3216067
1	641	3207257
2	932	3107255
3	1234	3084810
4	1482	2963989
5	1770	2948408
6	1998	2853648
7	2250	2810286
8	2542	2822314
9	2781	2778971
10	3014	2737477
11	3283	2732920
12	3558	2733533
13	3787	2701719
14	4109	2735414
15	4377	2731694
16	4639	2724509
17	4894	2714284
18	5158	2710052
19	5388	2688722
20	5658	2688795
21	5937	2692717
22	6188	2684322
23	6459	2685114
24	6743	2690472
25	6988	2681019
26	7224	2668613
27	7499	2671054
28	7763	2669447
29	8049	2674958
30	8305	2670798
31	8529	2657054
32	8775	2650525
33	9034	2648285
34	9324	2654721
35	9588	2653811
36	9866	2656801
37	10113	2651440
38	10420	2661387
39	10682	2659992
40	10926	2654080
41	11186	2652254
42	11466	2655272
43	11739	2656440
44	12029	2661276
45	12322	2666484
46	12643	2677564
47	12954	2685839
48	13239	2688664
49	13487	2684002
50	13740	2680441
51	14025	2683113
52	14344	2692231
53	14605	2690130
54	14903	2694826
55	15142	2688799
56	15427	2691084
57	15674	2686747
58	15960	2689217
59	16193	2682738
60	16412	2674197
61	16651	2669100
62	16891	2664347
63	17153	2663058
64	17390	2658113
65	17619	2652070
66	17884	2651426
67	18119	2646464
68	18359	2642442
69	18642	2644607
70	18987	2655314
71	19271	2657263
72	19533	2656234
73	19772	2652218
74	20037	2651611
75	20304	2651386
76	20588	2653228
77	20905	2659314
78	21167	2658304
79	21395	2653024
80	21677	2654507
81	21934	2652994
82	22184	2650639
83	22427	2647496
84	22681	2645703
85	22923	2642623
86	23173	2640458
87	23422	2638253
88	23635	2632003
89	23928	2634762
90	24153	2630111
91	24434	2631467
92	24691	2630324
93	24910	2625110
94	25150	2622321
95	25445	2625077
96	25717	2625591
97	25936	2620644
98	26187	2619042
99	26493	2622820
100	26757	2622537
101	27005	2620561
102	27242	2617653
103	27525	2619109
104	27897	2628970
105	28111	2623890
106	28350	2621239
107	28595	2619121
108	28792	2612736
109	29033	2610402
110	29267	2607444
111	29518	2606096
112	29774	2605132
113	30014	2602844
114	30263	2601317
115	30542	2602402
116	30791	2600985
117	31014	2597336
118	31257	2595405
119	31528	2595882
