iter	F1	Logloss
0	0.4165124737	0.604045951
1	0.448544809	0.5700835226
2	0.4379837372	0.5535355319
3	0.4551280117	0.5412994081
4	0.4574201911	0.5335638833
5	0.4583525727	0.5298366625
6	0.4656578344	0.5254639973
7	0.473967081	0.5227424516
8	0.4772012811	0.521209523
9	0.4770569854	0.520141142
10	0.4801785504	0.5178849151
11	0.4848692251	0.517118736
12	0.4865392119	0.5163395649
13	0.4863229006	0.5154705198
14	0.4914129624	0.5144952779
15	0.4931546639	0.5131771247
16	0.4941410975	0.5124356155
17	0.4979735649	0.5114619944
18	0.4986968522	0.5112521862
19	0.5024873238	0.509762631
20	0.503577689	0.5089934198
21	0.5074726575	0.5073256575
22	0.5100462795	0.5064588198
23	0.5132267594	0.5054304198
24	0.5133122164	0.5049572103
25	0.5177870856	0.5039438352
26	0.5177331867	0.5036890632
27	0.5189986166	0.5033616498
28	0.5205904618	0.5026305253
29	0.5279969901	0.5010967618
30	0.5274983991	0.5009045275
31	0.5343151914	0.4997948073
32	0.5330162178	0.4996320218
33	0.533242216	0.4995224642
34	0.5339684976	0.4992018414
35	0.5338540203	0.4990301034
36	0.5334333818	0.4989045569
37	0.5350209864	0.4983878259
38	0.5352405381	0.4982570085
39	0.5351938449	0.4979128208
40	0.5360319035	0.4977080582
41	0.536070689	0.4974503887
42	0.5365529256	0.4971713018
43	0.5364715583	0.4970748647
44	0.5365446793	0.4969058271
45	0.5434877724	0.495374694
46	0.54378172	0.4951424481
47	0.5439684224	0.4949032439
48	0.5448760884	0.4945302468
49	0.5483347099	0.493475285
50	0.5492174171	0.4929960244
51	0.5482863728	0.4927078274
52	0.5476123988	0.4923789064
53	0.5477878906	0.4922235178
54	0.5474348591	0.4918921682
55	0.5485389037	0.4915577955
56	0.5492161494	0.4910868655
57	0.5493849544	0.4906070087
58	0.5495173799	0.4902639191
59	0.5508008962	0.4897706688
60	0.5513101654	0.4895765309
61	0.5526303579	0.4890211359
62	0.5528589592	0.4888480483
63	0.5532140072	0.4885391496
64	0.5529366917	0.4882032445
65	0.553106436	0.4880185823
66	0.5529063599	0.4875987472
67	0.5534133331	0.4873180137
68	0.553691775	0.4870272208
69	0.5544475246	0.4867650844
70	0.5553851445	0.4864281651
71	0.5565765146	0.4860563516
72	0.5568585181	0.4858403391
73	0.5580518781	0.4854946255
74	0.5592279855	0.4851249046
75	0.5597022544	0.4849382907
76	0.5599910918	0.4845988721
77	0.5632857565	0.4833684632
78	0.5634737903	0.4832218994
79	0.5636550213	0.482901269
80	0.5648275544	0.4824923513
81	0.5647637268	0.4822951411
82	0.5649441857	0.4819835739
83	0.5657134938	0.4814138765
84	0.5654919536	0.481080517
85	0.565835146	0.4809627077
86	0.5664322724	0.4807760099
87	0.5687366325	0.4800595908
88	0.5693367389	0.4797017429
89	0.5692859712	0.4795957648
90	0.5691612701	0.479434576
91	0.5685246326	0.4792556769
92	0.5687440467	0.4788364785
93	0.5696091389	0.4785199613
94	0.57013023	0.4783029284
95	0.5707663469	0.4779885098
96	0.5710276578	0.4777049364
97	0.5710141178	0.4775614771
98	0.5709454465	0.477345974
99	0.5712673972	0.4769680127
100	0.5715236748	0.4767548242
101	0.572086315	0.4765590446
102	0.5720312717	0.4764351926
103	0.5719915631	0.476319394
104	0.5725099012	0.4760708855
105	0.572990675	0.4759496065
106	0.5730017861	0.4758526172
107	0.5746302438	0.4750367372
108	0.5746867261	0.4749299022
109	0.5750369549	0.4748055469
110	0.5750032341	0.4747052537
111	0.5750907965	0.474631416
112	0.5754834656	0.4742545982
113	0.5757819209	0.474067843
114	0.5761079532	0.4738203763
115	0.5763642413	0.473762623
116	0.5766563731	0.4735727779
117	0.5765689139	0.4734663562
118	0.5766214066	0.4733060252
119	0.5773537107	0.4730563066
120	0.5771450771	0.4729588478
121	0.5771782274	0.4727939051
122	0.577344003	0.4727254873
123	0.5781885397	0.4723504927
124	0.5781134448	0.4722405812
125	0.5784321881	0.4720334605
126	0.5790193505	0.4717878323
127	0.5790169451	0.4716771262
128	0.5794485753	0.4712604527
129	0.5801117731	0.4707623467
130	0.5806123957	0.4705818351
131	0.5809226679	0.4702533034
132	0.581338454	0.4701845784
133	0.5807483861	0.4699910447
134	0.5808414802	0.4698348205
135	0.5813618217	0.4695439419
136	0.5816585817	0.4694656589
137	0.5822665645	0.4690798673
138	0.5821262287	0.4689621616
139	0.5822464437	0.4688174177
140	0.5832711322	0.468452807
141	0.5832196704	0.468343577
142	0.5829066925	0.4682650599
143	0.5833087258	0.467996216
144	0.5833156442	0.4678053873
145	0.5830939869	0.467716789
146	0.5832317186	0.4676067762
147	0.5837365641	0.4671295254
148	0.5833564391	0.4669259104
149	0.5837823849	0.4667770183
150	0.584087969	0.4666883364
151	0.584030896	0.4665695632
152	0.5848384118	0.4663194055
153	0.5850658047	0.4662122088
154	0.5853419865	0.4660692867
155	0.5854487049	0.4659502079
156	0.5855432585	0.465818503
157	0.5856167863	0.465718301
158	0.585567277	0.4656029815
159	0.5861365671	0.4654851131
160	0.5866233634	0.4652508208
161	0.5868713048	0.4650617103
162	0.587366694	0.4648453488
163	0.5877030526	0.464576522
164	0.5877648056	0.4644173925
165	0.5878926949	0.4642796131
166	0.5881973497	0.464114121
167	0.5882450499	0.4639618835
168	0.5886957883	0.463721836
169	0.5886904378	0.4636375631
170	0.5889975978	0.4633024156
171	0.5888461326	0.4632400166
172	0.5891348608	0.4631703992
173	0.5892692634	0.4630827225
174	0.5895879204	0.4630030644
175	0.589693039	0.4629116035
176	0.5898068986	0.4628370848
177	0.5899963154	0.4627070096
178	0.5902062093	0.4626108394
179	0.5902853248	0.4625749761
180	0.5902192243	0.4624334513
181	0.590061482	0.4623100214
182	0.5901243444	0.4621766819
183	0.5904875915	0.4620110704
184	0.5904481186	0.4619425847
185	0.5907336974	0.4617873935
186	0.5907026031	0.4616505512
187	0.5909518106	0.461520902
188	0.5909870058	0.4613983861
189	0.5911537044	0.4612488991
190	0.5911957793	0.4609621321
191	0.5913728957	0.4608412909
192	0.5913282178	0.4606644702
193	0.5918258339	0.4605194399
194	0.5915661762	0.4602170606
195	0.5916892502	0.4601655374
196	0.5919289125	0.4600900528
197	0.5920399845	0.4599200727
198	0.5923364865	0.4598317494
199	0.5923159215	0.4596951569
200	0.5917561534	0.4592895679
201	0.5918634686	0.4591879041
202	0.5919813933	0.4591247152
203	0.5920388367	0.4590052014
204	0.5920544961	0.4589042096
205	0.5921838232	0.4588014645
206	0.5925659406	0.4586282162
207	0.5925768745	0.4585241509
208	0.5929540695	0.4584102395
209	0.5929875377	0.4582292739
210	0.5930606936	0.458153644
211	0.5934003081	0.4579924115
212	0.5936796665	0.4578480141
213	0.5936632385	0.4577522497
214	0.5939061952	0.4575900166
215	0.5939693579	0.4574645229
216	0.5941114616	0.457379561
217	0.5942122542	0.4572754648
218	0.5944271304	0.4571754719
219	0.5944974091	0.4571231402
220	0.5948139132	0.4570609121
221	0.5947830579	0.4570088883
222	0.594956557	0.4569269855
223	0.5949969561	0.4568844502
224	0.594974411	0.4568462536
225	0.5953676213	0.4567537621
226	0.5954457454	0.4566323619
227	0.5957097687	0.4565191208
228	0.5961759963	0.4563858095
229	0.5962755812	0.4562187598
230	0.5964459757	0.4561069482
231	0.5965642703	0.4560383617
232	0.5967704793	0.4559845119
233	0.5970435183	0.4558328071
234	0.5971281995	0.4557481868
235	0.5975119018	0.455628442
236	0.5975095327	0.4553804952
237	0.5977235892	0.4552992122
238	0.5978122756	0.4552040932
239	0.5981423693	0.4551132757
240	0.5984208492	0.4549797437
241	0.5986121593	0.454874688
242	0.5987264663	0.4547299729
243	0.5986562356	0.4546529386
244	0.5986783979	0.4545721292
245	0.5987191991	0.454472981
246	0.5989199533	0.4544083822
247	0.5990797828	0.454344818
248	0.5991661374	0.4542725947
249	0.5995233407	0.4541399865
250	0.5997442573	0.4539752881
251	0.5998914473	0.4539137677
252	0.6000073596	0.4538336335
253	0.6000091984	0.4537639217
254	0.6005702198	0.4536410143
255	0.6006161203	0.4535735584
256	0.6006638287	0.4534902163
257	0.6007466804	0.4534238937
258	0.6010665686	0.4533380184
259	0.6011144008	0.4533022574
260	0.6012632043	0.4532197745
261	0.6010401735	0.453030098
262	0.6013121141	0.4529511992
263	0.6015359459	0.4528849206
264	0.6020723104	0.4527729537
265	0.6022635408	0.4526793507
266	0.6025698724	0.4525978032
267	0.602969397	0.4523113393
268	0.6033054816	0.452235152
269	0.6032981966	0.4521483794
270	0.6032471945	0.4520652724
271	0.6033413852	0.4519996238
272	0.6035590979	0.4518928567
273	0.6038751148	0.4516366
274	0.6039371235	0.4515163476
275	0.6040448365	0.4514205775
276	0.6043326602	0.4513597425
277	0.604407405	0.4513099712
278	0.6044479527	0.4511755189
279	0.6046165848	0.4510801514
280	0.6047105041	0.4509430489
281	0.604779648	0.4509128735
282	0.6048193213	0.4508331279
283	0.6050757882	0.4507760421
284	0.6053360735	0.4506648339
285	0.6052457692	0.4505278789
286	0.6052170403	0.4504288977
287	0.6052127006	0.4503070367
288	0.6053083056	0.4502472412
289	0.6054084796	0.4501634145
290	0.6056225636	0.4500494716
291	0.6059116463	0.4499460592
292	0.60589832	0.4498810959
293	0.6059144468	0.4497962604
294	0.6061489652	0.4496934252
295	0.6063612275	0.4496421172
296	0.6063706882	0.4495785962
297	0.6064351669	0.4494837959
298	0.6065112356	0.449380782
299	0.6066645277	0.4493040932
300	0.6069523129	0.4491950433
301	0.6071173203	0.4491059683
302	0.6072898241	0.448990105
303	0.6075401844	0.4488619426
304	0.6077178963	0.4487817184
305	0.6078445748	0.4487257466
306	0.607803251	0.4486774989
307	0.6078542762	0.4486326608
308	0.6083030342	0.4485532423
309	0.6084543673	0.4484558482
310	0.6085817889	0.4483874299
311	0.6088365621	0.4482898716
312	0.6091644698	0.4481465341
313	0.6094007395	0.4480691833
314	0.6095567575	0.4479708705
315	0.6096179364	0.4478831643
316	0.6096982897	0.4478143703
317	0.6097873431	0.4477293222
318	0.6098406859	0.4476926239
319	0.6099473805	0.4475943577
320	0.6102504507	0.4475477592
321	0.61033517	0.4474964041
322	0.6106332357	0.4474229052
323	0.6107241894	0.4473419706
324	0.6110490969	0.4472420016
325	0.6111914216	0.4471824971
326	0.6112788421	0.4471261845
327	0.6114801193	0.4470631204
328	0.6114734752	0.4469971223
329	0.61158174	0.4469217844
330	0.6117390986	0.4468287578
331	0.6117431864	0.4467815626
332	0.6118462566	0.4467226376
333	0.6118391572	0.4466290863
334	0.6120198594	0.4465066875
335	0.6122717673	0.4464654138
336	0.6123079737	0.4463671898
337	0.6122400454	0.4462657917
338	0.6121907723	0.4462374884
339	0.612283718	0.4461087948
340	0.6122086855	0.44606676
341	0.6123370982	0.4459761278
342	0.6129627937	0.4458693856
343	0.6129863956	0.4458257139
344	0.6131312115	0.4457442954
345	0.6130866409	0.4456464342
346	0.6133377195	0.445567868
347	0.6133701274	0.4455187449
348	0.613790646	0.445455594
349	0.6136922219	0.4453728215
350	0.6137331214	0.4453076844
351	0.6135304545	0.4452484014
352	0.613505117	0.4452056677
353	0.6135346041	0.445170819
354	0.6138671732	0.4449824969
355	0.613998247	0.4449140988
356	0.6141483504	0.4448479255
357	0.614364762	0.4447890247
358	0.6144831237	0.4445802569
359	0.6143620178	0.4445218952
360	0.6145587994	0.444388772
361	0.6144984161	0.4443546416
362	0.6145195301	0.4442966897
363	0.6145995929	0.4442513685
364	0.6147147421	0.4441749577
365	0.614671025	0.4440954552
366	0.6147919595	0.4439368432
367	0.6145796236	0.4438637188
368	0.6147551464	0.4437747616
369	0.6148521542	0.443719186
370	0.6150643279	0.4436606193
371	0.6153171908	0.4434710473
372	0.6153537124	0.4434186723
373	0.6155152268	0.4433537712
374	0.6155966485	0.4433137451
375	0.6157300499	0.4432792266
376	0.6157441215	0.4432601607
377	0.6157876959	0.443182737
378	0.6157708777	0.4431279176
379	0.61602505	0.4430269344
380	0.6157386691	0.4429207132
381	0.6158973657	0.4428401339
382	0.6160097892	0.4427849554
383	0.6160772996	0.4426334477
384	0.6162051582	0.4425390941
385	0.6164842488	0.4424285943
386	0.6164688698	0.442339928
387	0.6166487118	0.4422752973
388	0.6167401686	0.4421800798
389	0.6168524656	0.4421062961
390	0.6171586126	0.4419966765
391	0.6172596062	0.4419324634
392	0.6172916134	0.4417602884
393	0.6173366926	0.4416922476
394	0.617480302	0.4416234161
395	0.6175514824	0.4415514763
396	0.6175877333	0.4414942265
397	0.6175874719	0.4414143455
398	0.6176730943	0.4413684103
399	0.6178091692	0.4412709449
400	0.6180258294	0.4411508793
401	0.6183102319	0.4410747537
402	0.6182150027	0.4410324272
403	0.6183653355	0.4409748611
404	0.6183909095	0.4409309992
405	0.6186291419	0.4408405339
406	0.6186378031	0.4407395668
407	0.6185239603	0.4406964235
408	0.6186191667	0.440654178
409	0.6189094492	0.4406083132
410	0.6189946173	0.4405554744
411	0.6191080014	0.440499084
412	0.6194883954	0.4404296271
413	0.6196990424	0.4403609244
414	0.6196165703	0.4402896853
415	0.619817749	0.4402208329
416	0.6198310928	0.4401624314
417	0.6198750399	0.4400899702
418	0.6202544344	0.4399707059
419	0.6204537993	0.4398652114
420	0.6206267557	0.439808182
421	0.6207192093	0.4397451577
422	0.6211397528	0.4396487701
423	0.6209864163	0.4396140825
424	0.6211390709	0.439524148
425	0.6212710883	0.439455417
426	0.6213671864	0.4393487566
427	0.6212666673	0.4392800853
428	0.621480253	0.4392079978
429	0.6216657098	0.4391171974
430	0.6218885528	0.4390564482
431	0.6222886243	0.4390134769
432	0.6222189829	0.4389521859
433	0.62229875	0.4388878194
434	0.6222007616	0.4388562013
435	0.6223602937	0.4387788704
436	0.6224995445	0.4387020285
437	0.6226554316	0.4386196742
438	0.6228913907	0.4385250815
439	0.6230615832	0.4384775406
440	0.6231275668	0.4384080344
441	0.6231368086	0.4383888599
442	0.623194079	0.4382685153
443	0.6233158546	0.4381750649
444	0.6236492576	0.4380984474
445	0.6236868457	0.4380323028
446	0.6239146659	0.4379605574
447	0.6239599454	0.4378929955
448	0.6240476255	0.4378361863
449	0.6240544698	0.437785127
450	0.6242572591	0.4377050589
451	0.6245951748	0.4375713918
452	0.6245883445	0.4375181795
453	0.6247167287	0.437418347
454	0.6248521141	0.4373439411
455	0.6247360757	0.437288177
456	0.6248214237	0.437047329
457	0.6248566801	0.4369868709
458	0.6250204743	0.4369232594
459	0.6251421398	0.4367919934
460	0.6253422228	0.4367009093
461	0.6253944867	0.4366339042
462	0.6255297477	0.4365696849
463	0.6256843024	0.4364833359
464	0.6256093125	0.4364015618
465	0.6257605107	0.4363234932
466	0.6257173259	0.4362244679
467	0.6257572725	0.4361630979
468	0.6257163128	0.4360954548
469	0.625783389	0.4360492314
470	0.6258322721	0.4360192079
471	0.6257754653	0.4358675001
472	0.6259778061	0.4358223526
473	0.6259996179	0.435760769
474	0.6258133207	0.4357102534
475	0.6260624261	0.4356318856
476	0.6261637166	0.4355792381
477	0.6260874313	0.4354885852
478	0.6262148291	0.4354199775
479	0.6262784349	0.4353500041
480	0.6263830252	0.4353258555
481	0.6263775264	0.4352807291
482	0.626548125	0.4351362081
483	0.626538913	0.4350328232
484	0.6267673551	0.4349478635
485	0.6269533737	0.4348962628
486	0.6270008731	0.4348769289
487	0.6271292802	0.4348283211
488	0.6272598305	0.4347335728
489	0.6273076154	0.4346598356
490	0.627431367	0.4346081976
491	0.627509821	0.4345024709
492	0.6275404887	0.4344536418
493	0.6277141298	0.4343974983
494	0.6279095141	0.4343421594
495	0.6282509295	0.4342763731
496	0.62839275	0.4341991623
497	0.6284956058	0.4339552356
498	0.6286534826	0.4338725922
499	0.6286057037	0.4337900917
500	0.6287230369	0.433755055
501	0.6287838169	0.4336591876
502	0.6288404901	0.4335682688
503	0.6287968298	0.4334164274
504	0.6289500232	0.43331915
505	0.6289718607	0.4332576354
506	0.6290809278	0.4331775893
507	0.6294162547	0.4330592504
508	0.6294987234	0.4330111051
509	0.6297100593	0.4329539574
510	0.6297073601	0.4328550478
511	0.6299045214	0.4328079084
512	0.6299849203	0.4327465085
513	0.6300630554	0.4326645871
514	0.6300677824	0.432585867
515	0.630469545	0.432463113
516	0.6305682727	0.4323871804
517	0.6306255564	0.4323166372
518	0.6306190109	0.4322082173
519	0.6308657785	0.4321333652
520	0.6307921458	0.4320855328
521	0.6311382357	0.431994901
522	0.6312271237	0.4319161645
523	0.631496721	0.4318482601
524	0.6316755068	0.4317980389
525	0.6319221791	0.4316979939
526	0.6319441921	0.4316465245
527	0.631723361	0.4315764826
528	0.6321163507	0.4314913477
529	0.6323037791	0.43140053
530	0.6323562806	0.431346249
531	0.6326182129	0.431280776
532	0.6327462966	0.431190239
533	0.6327060704	0.4311368821
534	0.632625814	0.4310663581
535	0.6326352689	0.4310011134
